price,price_per_meter,floor,rooms,repair_type,total_area,distance_to_center,district,house_build_year,house_type,balcony_number,bathroom_many,separate_bathroom,first_floor,geo_lat,geo_lon
8700000,116000,3,2,6,75,2258,6 Микрорайон,2003,7,1,0,0,0,57.12687568,65.56385542
8700000,115232,8,2,2,75.5,588,Центр: Городская администрация,2012,7,1,0,1,0,57.14598305,65.53583697
8700000,112987,3,3,2,77,7939,Звездный городок,2023,5,0,0,1,0,57.175813,65.662882
8700000,101163,7,3,7,86,2123,Южный 2,1996,3,0,0,1,0,57.12552724,65.55004832
8700000,95290,3,3,4,91.3,3473,КПД,2000,3,0,0,0,0,57.134291,65.599357
8700000,94463,12,2,8,92.1,6949,Восточный-2,2012,7,1,1,1,0,57.097653,65.621087
8700000,87879,1,3,7,99,4664,Тюменский-1,2016,7,0,0,1,1,57.107133,65.580223
8700000,83654,4,3,6,104,1680,Южный 2,2001,7,1,0,0,0,57.12936235,65.54293366
8650000,78636,13,3,7,110,390,Центр: Драмтеатр,2008,7,1,0,0,0,57.14103,65.543335
8650000,154464,8,2,4,56,2811,Европейский мкр.,2016,4,1,1,0,0,57.16854057,65.55869
8650000,116107,5,2,7,74.5,4573,Тюменский-1,2008,7,1,0,0,0,57.1076411,65.57873152
8650000,108125,12,2,6,80,4249,2-й Заречный мкр.,2009,4,0,0,0,0,57.18203,65.55672
8650000,100581,6,3,6,86,5723,МЖК,2013,3,0,0,1,0,57.10179934,65.59794649
8650000,97191,11,3,7,89,2598,Дом Обороны,2005,7,1,0,1,0,57.1566708,65.5085923
8650000,96111,8,3,7,90,3365,Маяк,2013,7,0,0,1,0,57.14772625,65.48984323
8650000,96111,6,3,5,90,4018,Тюменский-3,2012,3,2,1,1,0,57.10923459,65.55993877
8650000,88265,4,3,4,98,3848,Тюменский-3,2006,3,1,0,1,0,57.11189351,65.56662223
8640000,130909,2,2,2,66,3824,5-й Заречный мкр.,2020,4,1,1,1,0,57.16566607,65.5947125
8630000,113702,7,3,7,75.9,3646,Московский тракт,2017,7,1,0,0,0,57.134081,65.487939
8630000,176122,12,1,2,49,4831,5-й Заречный мкр.,2020,5,1,0,1,0,57.176470,65.598872
8630000,172600,2,2,7,50,648,Центр: Городская администрация,2017,7,0,0,0,0,57.146681,65.535244
8630000,152205,11,2,4,56.7,1224,Центр: Драмтеатр,2023,4,1,0,1,0,57.152565,65.558645
8630000,143833,5,2,2,60,3806,5-й Заречный мкр.,2021,4,1,0,1,0,57.164210,65.596341
8630000,95889,2,3,7,90,4482,Дударева,2016,3,1,0,1,0,57.11999617,65.48624098
8625000,128731,11,2,7,67,6114,МЖК,2016,7,1,0,1,0,57.09731108,65.59699427
8625000,159722,8,2,8,54,1586,Центр: Исторический,2009,7,1,0,0,0,57.15708539,65.55701026
8625000,130682,2,2,2,66,6214,МЖК,2022,5,0,0,1,0,57.095121,65.593221
8620000,101174,2,3,2,85.2,4304,Воровского,2022,7,0,0,0,0,57.120412,65.600821
8600000,92374,3,3,8,93.1,6101,Восточный,2002,3,1,0,1,0,57.102000,65.608870
8600000,160748,3,2,8,53.5,4248,Воровского,2022,4,0,0,0,0,57.121764,65.601570
8600000,159259,14,2,2,54,2524,6 Микрорайон,2015,7,1,0,1,0,57.12415407,65.5638195
8600000,150877,16,2,8,57,5739,МЖК,2016,4,1,0,0,0,57.09807383,65.58660076
8600000,148021,17,2,2,58.1,1224,Центр: Драмтеатр,2023,4,1,0,1,0,57.152565,65.558645
